"AphiaID","phylum","class","order","family","genus","species","records","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
159115,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta garzetta",,,,FALSE,TRUE,FALSE,"LC","LC","little egret, aigrette garzette","birds"
212662,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta intermedia",,,,FALSE,TRUE,FALSE,,,"intermediate egret, héron intermédiaire","birds"
158977,"Chordata","Aves","Ciconiiformes","Threskiornithidae","Plegadis","Plegadis falcinellus",,,,FALSE,TRUE,FALSE,"LC","LC","glossy ibis, ibis falcinelle","birds"
567851,"Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus","Todiramphus chloris",,,,FALSE,TRUE,FALSE,"LC","LC","collared kingfisher, Martin-chasseur à collier blanc","birds"
446494,"Chordata","Aves","Falconiformes","Accipitridae","Haliaeetus","Haliaeetus leucogaster",,,,FALSE,TRUE,FALSE,"LC","LC","white-bellied sea eagle, pygargue blagre","birds"
137179,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo",,,,FALSE,TRUE,FALSE,"LC","LC","great cormorant, grand cormoran","birds"
343945,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax fuscicollis",,,,FALSE,TRUE,FALSE,"LC","LC","Indian cormorant, cormoran à cou brun","birds"
137182,"Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps cristatus",,,,FALSE,TRUE,FALSE,"LC","LC","great-crested grebe, grèbe huppé","birds"
137184,"Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps nigricollis",,,,FALSE,TRUE,FALSE,"LC","LC","eared grebe, grèbe à cou noir","birds"
148790,"Chordata","Aves","Podicipediformes","Podicipedidae","Tachybaptus","Tachybaptus ruficollis",,,,FALSE,TRUE,FALSE,"LC","LC","little grebe, grèbe castagneux","birds"
1358779,"Arthropoda","Malacostraca","Decapoda","Ocypodidae","Austruca","Austruca variegata",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
209503,"Arthropoda","Malacostraca","Decapoda","Calappidae","Calappa","Calappa lophos",1,1924,,TRUE,FALSE,FALSE,,,,"crustaceans"
441377,"Arthropoda","Malacostraca","Decapoda","Leucosiidae","Leucosia","Leucosia craniolaris",1,1924,,TRUE,FALSE,FALSE,,,,"crustaceans"
955322,"Arthropoda","Malacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca rosea",,,,FALSE,TRUE,FALSE,,,,"crustaceans"
217347,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus dussumieri",1,,,TRUE,TRUE,FALSE,"EN","EN","whitecheek shark","fish"
271322,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus hemiodon",2,,,TRUE,TRUE,FALSE,"CR","CR",,"fish"
105792,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus leucas",2,,,TRUE,TRUE,FALSE,"VU","VU","bull shark, requin-bouledogue","fish"
105793,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus",2,,,TRUE,TRUE,FALSE,"VU","VU","blacktip shark","fish"
105795,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus melanopterus",3,,,TRUE,TRUE,FALSE,"VU","VU","blacktip reef shark","fish"
217339,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus sorrah",1,,,TRUE,TRUE,FALSE,"NT","NT","spottail shark","fish"
220034,"Chordata","Elasmobranchii","Carcharhiniformes","Proscylliidae","Eridacnis","Eridacnis radcliffei",1,,,TRUE,TRUE,FALSE,"LC","LC","pygmy ribbontail catshark","fish"
280757,"Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Eusphyra","Eusphyra blochii",3,,,TRUE,TRUE,FALSE,"EN","EN",,"fish"
105799,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Galeocerdo","Galeocerdo cuvier",1,,,TRUE,TRUE,FALSE,"NT","NT","tiger shark","fish"
277183,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Glyphis","Glyphis gangeticus",2,,,TRUE,TRUE,FALSE,"CR","CR",,"fish"
277184,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Glyphis","Glyphis glyphis",1,,,TRUE,TRUE,FALSE,"VU","VU",,"fish"
281270,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Lamiopsis","Lamiopsis temminckii",2,,,TRUE,TRUE,FALSE,"EN","EN",,"fish"
214558,"Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus mosis",1,,,TRUE,TRUE,FALSE,"NT","NT","Arabian smooth-hound","fish"
